commit_hash,package_name,pname,version,fetcher,nixpkgs_target_bump
0c08b21a748456085fda4f9f05076e58e68d4fdc,mprisence,mprisence,1.2.4,"fetchFromGitHub {
    owner = ""lazykern"";
    repo = ""mprisence"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-eUUUHjR6wnbaPb1QD9luEVvu5qSAxG5c4TuMjnzRV40="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
896942e500825d503659b9f4d449964dee8c8648,wxwidgets_3_3,wxwidgets,3.3.1,"fetchFromGitHub {
    owner = ""wxWidgets"";
    repo = ""wxWidgets"";
    tag = ""v${finalAttrs.version}"";
    fetchSubmodules = true;
    hash = ""sha256-eYmZrh9lvDnJ3VAS+TllT21emtKBPAOhqIULw1dTPhk="";
  }",e45f8f193029378d0aaee5431ba098dc80054e9a
f35e564ec5dd8aa23b6672d395e101bc2a2ee99f,colcon-package-information,colcon-package-information,0.4.0,"fetchFromGitHub {
    owner = ""colcon"";
    repo = ""colcon-package-information"";
    tag = version;
    hash = ""sha256-BnDrnIgzXrNAPIg7sr8CcaVdisplJdAvjyZ28r4o/wI="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
725442d69ca3d0f7c902626665fca83c01602ce3,conman,conman,0.3.1,"fetchFromGitHub {
    owner = ""dun"";
    repo = ""conman"";
    tag = ""conman-${finalAttrs.version}"";
    hash = ""sha256-CHWvHYTmTiEpEfHm3TF5aCKBOW2GsT9Vv4ehpj775NQ="";
  }",8679b16e11becd487b45d568358ddf9d5640d860
2db01e86a9739850ca04c10b360da78b279fbf2f,kirsch,kirsch,0.6.1,"fetchzip {
    url = ""https://github.com/molarmanful/kirsch/releases/download/v${finalAttrs.version}/kirsch-release_v${finalAttrs.version}.zip"";
    hash = ""sha256-6POi3N1JX6FFWHwqOlB3mrkHMYG+TJXz9URarbSPrZw="";
  }",372d9eeeafa5b15913201e2b92e8e539ac7c64d1
e370730f131a975394d0195c3fc63db5f0383f4a,pynetio,pynetio,0.1.8,"fetchPypi {
    inherit pname version;
    hash = ""sha256-SSe6OHubWszOTnwytL/3GhzD4lGIz9kxS75kuJv7vKA="";
  }",5a983011e0f4b3b286aaa73e011ce32b1449a528
798c206c3676b871bc09d886611f3f25e4d72022,tiered-debug,tiered-debug,1.3.0,"fetchFromGitHub {
    owner = ""untergeek"";
    repo = ""tiered-debug"";
    tag = ""v${version}"";
    hash = ""sha256-2mThiuJUX+N5qIOXpdFOuIa+kBGYzbZzCeaAfEz3Iy0="";
  }",4e942f9ef5b35526597c354d1ded817d1c285ef1
8bc9bb67992d7c8a1d225886001e754f40ad568d,docstrfmt,docstrfmt,1.10.0,"fetchFromGitHub {
    owner = ""LilSpazJoekp"";
    repo = ""docstrfmt"";
    tag = ""v${version}"";
    hash = ""sha256-L7zz9FJRSiBWthME0zsUWHxeA+zVuxQpkyEVbNSSEQs="";
  }",9585e9192aadc13ec3e49f33f8333bd3cda524df
d5218e5eb2b0727c750353d94ac9270c943eae6a,fullmoon,fullmoon,1.0.2,"fetchFromGitHub {
    owner = ""jr-k"";
    repo = ""python-fullmoon"";
    rev = ""702b94d9924cce8c156a3d7951bea65b19022358"";
    hash = ""sha256-d0OL5z2DCOp0xSYBAdaMHZV9wmZJ6jiQTl7NZjMYJRA="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
22005326cc2cb091dc0e658bd27442cf75e3d42b,legacy-api-wrap,legacy-api-wrap,1.4.1,"fetchFromGitHub {
    owner = ""flying-sheep"";
    repo = ""legacy-api-wrap"";
    tag = ""v${version}"";
    hash = ""sha256-ySkhfUyRBd4QS3f46KlaA5NrHxHr+dlkgmD4fGk2KsA="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3
a956dc122c3c73cd89c5eb42cc8518f9941467d3,ifstate,ifstate,2.0.0,"fetchFromGitea {
      domain = ""codeberg.org"";
      owner = ""liske"";
      repo = ""ifstate"";
      tag = version;
      hash = ""sha256-YxLyiTVLN4nxc2ppqGGnYCGudbdPLSLV8EwDURtpO0U="";
    }",e960e6e1dc689e2b5fe9e3ee824fc12860d9f27c
2851652b853a4bcbb00ec734b71f2d4cee283de3,sphinx-lint,sphinx-lint,1.0.0,"fetchFromGitHub {
    owner = ""sphinx-contrib"";
    repo = ""sphinx-lint"";
    tag = ""v${version}"";
    hash = ""sha256-VM8PyUZVQQFdXLR14eN7+hPT/iGOVHG6s1bcac4MPo4="";
  }",9585e9192aadc13ec3e49f33f8333bd3cda524df
642de91793cfe87578424e0630c4f9da6c3e8e17,rewaita,rewaita,1.0.1,"fetchFromGitHub {
    owner = ""SwordPuffin"";
    repo = ""Rewaita"";
    tag = ""v${version}"";
    hash = ""sha256-adSXq+DFw3IQxNuUkP1FcKlIh9h4Zb0tJKswYs3S92E="";
  }",7b6929d8b900de3142638310f8bc40cff4f2c507
9767699dc618d2407a6f7a2c3fcb20ee5149ecc7,liboprf,liboprf,0.7.1,"fetchFromGitHub {
    owner = ""stef"";
    repo = ""liboprf"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-auC6iVTMbLktKCPY8VgOdx2dMI2KDzNgtY1zyNXjM1A="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
05d73488d4b33270543cdab63dcc28f60da1467d,xarray-dataclass,xarray-dataclass,3.0.0,"fetchFromGitHub {
    owner = ""xarray-contrib"";
    repo = ""xarray-dataclass"";
    tag = ""v${version}"";
    hash = ""sha256-NHJvrkoRhq5cPSBBMWzrWVn+3sPvveMRgTXc/NdLfuA="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3
92103f8d3688fe844d05d5d3f51b243304c4c157,ramalama,ramalama,0.11.3,"fetchFromGitHub {
    owner = ""containers"";
    repo = ""ramalama"";
    tag = ""v${version}"";
    hash = ""sha256-dvNFSPPdMnxgwGK2rVSsyaYwvz0wHutqjLFhsCps80A="";
  }",9585e9192aadc13ec3e49f33f8333bd3cda524df
77ca22945cd29af467679dd95c458a37be7727f5,py-melissa-climate,py-melissa-climate,2.1.2,"fetchFromGitHub {
    owner = ""kennedyshead"";
    repo = ""py-melissa-climate"";
    tag = ""V${version}"";
    hash = ""sha256-Z1A0G3g8dyoG+zUxUTqI/OxczvUVy2kSI04YP0WeXso="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
40fe4dee250f2cac8f5dca422f2cb3034d88a55c,pystiebeleltron,pystiebeleltron,0.2.3,"fetchFromGitHub {
    owner = ""ThyMYthOS"";
    repo = ""python-stiebel-eltron"";
    tag = ""v${version}"";
    hash = ""sha256-vJo9fjtbGuWJ1JcK6u0Cnol1Ev3eobD14YjH+S256og="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
f006d6460d8d8925003b6cb4b08bbef951b3021c,xs1-api-client,xs1-api-client,3.0.1,"fetchFromGitHub {
    owner = ""markusressel"";
    repo = ""xs1-api-client"";
    tag = ""v${version}"";
    hash = ""sha256-bAxrqtjoJaPkTzeeOeXSTpJN3rPszi5W4q6Q7ZRo0hc="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
af92342df56a2bb14308eab86ea9f940f165db8f,python-blockchain-api,python-blockchain-api,0.0.2,"fetchPypi {
    inherit pname version;
    hash = ""sha256-JC/FWkSq+Rc/XX39RQgLBnlncuRRumFNArODNJDzAHw="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
ed8c0bf5bf169f62246764b9cd18574a3e19dcbd,starlingbank,starlingbank,3.2,"fetchPypi {
    inherit pname version;
    hash = ""sha256-pqWnRyCAc50KQmbqYq9Mje+PWXCFmTAjs8jA13YM0nA="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
d5f29a5b5504fd7f4185cb48db6a70b4cb4cc882,pyrepetierng,pyrepetierng,0.1.0,"fetchPypi {
    inherit pname version;
    hash = ""sha256-0+Qr2yrjk1/K4Yg55d8sdmI6BtBYI76DCQiPlp6dzrc="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
defecd64a3ac1dddf483b5d89bddeac2c85cd776,kawa,kawa,3.1.1,"fetchurl {
    url = ""mirror://gnu/kawa/kawa-${finalAttrs.version}.tar.gz"";
    hash = ""sha256-jJpQzWsQAVTJAb0ZCzrNL7g1PzNiLEos6Po5Kn8J4Bk="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
3d69b45f894e1e1fc2e32dff36fb93d19adf6d90,pymochad,pymochad,0.3.0,"fetchFromGitHub {
    owner = ""mtreinish"";
    repo = ""pymochad"";
    tag = version;
    hash = ""sha256-nwh97sbYkt4F/u02zTDemWEztSco27oJCemd6kTnCMk="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
69df914cf951a6679d6be332a995508d3a9d9ae8,baidu-aip,baidu-aip,4.16.1,"fetchPypi {
    inherit pname version;
    hash = ""sha256-zNYjEVVwhqFAR7w7CR3rWYefUZcM+sPZ87KYfDDLxN0="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
f6a46d05584e59c5bf69dff4cc38c25bc64e85e4,electrickiwi-api,electrickiwi-api,0.9.14,"fetchFromGitHub {
    owner = ""mikey0000"";
    repo = ""EK-API"";
    tag = ""v${version}"";
    hash = ""sha256-UXweOz5olwx3ZI2M7eI1n729tqfLiWszV2zTWbrA9CM="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
6999b03d62cf27efe6ed09576e638b5cd65b9c18,pyoppleio-legacy,pyoppleio-legacy,1.0.8,"fetchFromGitHub {
    owner = ""tinysnake"";
    repo = ""python-oppleio-legacy"";
    rev = ""90c57f778554fcf3a00e42757d0e92caebcfd149"";
    hash = ""sha256-ccvMn/jQSkW11uMwG3P+i53NiDj+MNZgJYEkouQ1tvU="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
2032eb4942807048cb41377af3f72a188bff51e6,protoletariat,protoletariat,3.3.10,"fetchFromGitHub {
    owner = ""cpcloud"";
    repo = ""protoletariat"";
    tag = version;
    hash = ""sha256-oaZmgen/7WkX+nNuphrcyniL7Z/OaeqlcnbCnqR5h0w="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
3d4984b32b4843f66653665e4827edd870fb6d81,fastapi-github-oidc,fastapi-github-oidc,0.3.0,"fetchFromGitHub {
    owner = ""atopile"";
    repo = ""fastapi-github-oidc"";
    tag = version;
    hash = ""sha256-FS50++Hy9h0RFrSnc4PbXFPh/1OO0JOaFdIZwoXa86A="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
836c4459434a30ffb08c69ffb03fcfc3be3bfad9,atopile-easyeda2kicad,atopile-easyeda2kicad,0.9.4,"fetchFromGitHub {
    owner = ""atopile"";
    repo = ""easyeda2kicad.py"";
    tag = ""v${version}"";
    hash = ""sha256-pdP91tWeyQWh9ow02EXA2XIUsaexitX1R/OeyFQJ9vI="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
1d7c5611c502e8181aee2c69e8be16885d42b64d,kicadcliwrapper,kicadcliwrapper,1.0.4,"fetchFromGitHub {
    owner = ""atopile"";
    repo = ""kicadcliwrapper"";
    tag = ""v${version}"";
    hash = ""sha256-S1Sd3TgLUIT1TcG8WbEgHgUqIcXvzVdvfwrPnpaK7/g="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
6a98a4c5965962ada18850cd1341f6173d3534b7,pyswitchmate,pyswitchmate,0.5.1,"fetchFromGitHub {
    owner = ""Danielhiversen"";
    repo = ""pySwitchmate"";
    tag = version;
    hash = ""sha256-14rjlIsSFNP2OzuRamAJw9BaA+Z5EuQBEsrD02uQdFk="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
8115523decfaecb3b692a61f72900a17ff8c159f,powerview,powerview,2025.1.1,"fetchFromGitHub {
    owner = ""aniqfakhrul"";
    repo = ""powerview.py"";
    tag = version;
    hash = ""sha256-kA7vb3YwUlolEnSJRFi+YZoq4yZsdMG+Snk7zsyOCmQ="";
  }",a683adc19ff5228af548c6539dbc3440509bfed3
33e841a2fd939da8f3f5699d2a58a346f58ab7ca,pyrecswitch,pyrecswitch,1.0.2,"fetchFromGitHub {
    owner = ""marcolertora"";
    repo = ""pyrecswitch"";
    tag = version;
    hash = ""sha256-z9dOJ7WgUR2ntU6boUInRyKxSPBSoNWGtE3pOZcFYA0="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
1fb3026f0aa431a9f268d1b8f60244c493d1adf6,ebusdpy,ebusdpy,0.0.17,"fetchPypi {
    inherit pname version;
    hash = ""sha256-t6O/fOBrJuDYpCVnkL+hUzyqMoGKFj5UYNoD6ExikNM="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
4cf97d64a1798e3ce7510afab9aee720150e9057,plus-jakarta-sans,plus-jakarta-sans,2.7.1,"fetchzip {
    url = ""https://github.com/tokotype/PlusJakartaSans/releases/download/${finalAttrs.version}/PlusJakartaSans-${finalAttrs.version}.zip"";
    stripRoot = false;
    hash = ""sha256-+ghkQ4/wxou3FB68ceCwBeGrSCaHJhb16MybvN6mCSc="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
d5206856bbcdb7d44fe450bbdc530a909d5032db,pyitachip2ir,pyitachip2ir,0.0.7,"fetchPypi {
    inherit pname version;
    hash = ""sha256-T/Q3tZTTwqlaHDR2l2nRLISC4LLrOPZZv14sRxYyqDQ="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
49db9c55fb0be705229fb7b3bd0d0bc783b314cb,pypjlink2,pypjlink2,1.2.1,"fetchFromGitHub {
    owner = ""benoitlouy"";
    repo = ""pypjlink"";
    tag = ""v${version}"";
    hash = ""sha256-0RVI9DX5JaVWntSu5du5SU45NC70TZJyVrvMuVR7grA="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
dd323d2bfe9aac779b0ebc07f86bc24996b969d1,qwen-code,qwen-code,0.0.5,"fetchFromGitHub {
    owner = ""QwenLM"";
    repo = ""qwen-code"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-/PuykGiXpjk2Fp1Sif59hvOIepZ7KcJRvL/9RMatQJA="";
  }",cab778239e705082fe97bb4990e0d24c50924c04
75cdc4782e0e4e2675ce0c679f0e06197b13f181,thingspeak,thingspeak,1.0.0,"fetchFromGitHub {
    owner = ""mchwalisz"";
    repo = ""thingspeak"";
    tag = ""v${version}"";
    hash = ""sha256-9YvudzksWp130hkG8WxiX9WHegAVH2TT1vwMbLJ13qE="";
  }",641d909c4a7538f1539da9240dedb1755c907e40
bca6ad9edaf269cc06b3657398c59be487719c99,pywmspro,pywmspro,0.3.2,"fetchFromGitHub {
    owner = ""mback2k"";
    repo = ""pywmspro"";
    tag = version;
    hash = ""sha256-o/+WjdU9+Vh1CnZYF2IsNpK5cubAFvsqANZ4GxrKFHI="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
7d055ef5ca085a20c22e0714e95b70761740d409,pypasser,pypasser,0.0.5,"fetchFromGitHub {
    owner = ""xHossein"";
    repo = ""PyPasser"";
    tag = version;
    hash = ""sha256-vqa+Xap9dYvjJMiGNGNmegh7rmAqwf3//MH47xwr/T0="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
8dcdc21a24daffa78779b333cdb4b148bec026c1,volvocarsapi,volvocarsapi,0.4.1,"fetchFromGitHub {
    owner = ""thomasddn"";
    repo = ""volvo-cars-api"";
    tag = ""v${version}"";
    hash = ""sha256-YMrhVxDm8Cp8vbMVtdq6yoaAu8nUB7L2YG+LSkvMdZs="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
503d1cc7effb6e86af93d0386dd9ace3efa5c299,airos,airos,0.2.4,"fetchFromGitHub {
    owner = ""CoMPaTech"";
    repo = ""python-airos"";
    tag = ""v${version}"";
    hash = ""sha256-zY0XPucCXiJDo9C4GiDqs/lxQDTphs/mBXBqSYPvkoI="";
  }",f86999f8bfef9ff57f7f03c1c5deedc2784fc666
2cb2aaaf22c1f2148b6555693e4aae79d07750d5,pythonkuma,pythonkuma,0.3.1,"fetchFromGitHub {
    owner = ""tr4nt0r"";
    repo = ""pythonkuma"";
    tag = ""v${version}"";
    hash = ""sha256-1coD4bDLMWQLvN3zt/++hmut0DLdg7aAKz5HtDhomso="";
  }",1ef586712f85b4b004caecd385d6b023e7fd2450
b531aec6418c2cf404a91fd87687a3deebc9245f,python-open-router,python-open-router,0.3.1,"fetchFromGitHub {
    owner = ""joostlek"";
    repo = ""python-open-router"";
    tag = ""v${version}"";
    hash = ""sha256-EoLBlgXKrAo2DKOuLGvN3MbWIJIG+Ehtznegnq3VX44="";
  }",f86999f8bfef9ff57f7f03c1c5deedc2784fc666
8e474f5cd7fec67ee0df51320ef21425883ca74f,aioonkyo,aioonkyo,0.3.0,"fetchFromGitHub {
    owner = ""arturpragacz"";
    repo = ""aioonkyo"";
    tag = version;
    hash = ""sha256-xGSvwfCwWfWHZTl4+Uf+vgI5JkjeO5affbURqpLsCuk="";
  }",f86999f8bfef9ff57f7f03c1c5deedc2784fc666
b966b49bdd0952ce3bd2d98b0162132f70eb7485,dbt-protos,dbt-protos,1.0.351,"fetchFromGitHub {
    owner = ""dbt-labs"";
    repo = ""proto-python-public"";
    tag = ""v${version}"";
    hash = ""sha256-GZwSJAElE/aUS4cCqMlmUJVtm+OACjKakXUxkrpVUyE="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
928d75540aa6d7ec5bf01a7d439d857087b332aa,dependency-groups,dependency-groups,1.3.1,"fetchFromGitHub {
    owner = ""pypa"";
    repo = ""dependency-groups"";
    tag = version;
    hash = ""sha256-suuSx3zf0Y45FJdH8Cb6N7hcvPnzleREpHhtdiG2CLg="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
16f8c8a04ad981085d69f040105d038eab96e1b1,rfc3987-syntax,rfc3987-syntax,1.1.0,"fetchFromGitHub {
    owner = ""willynilly"";
    repo = ""rfc3987-syntax"";
    tag = ""v${version}"";
    hash = ""sha256-6jA/x8KnwBvyW2k384/EB/NJ8BmJJTEHA8YUlQP+1Y4="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
4740c096e8172478db36f8bfb95ec0f819de4db0,moehlenhoff-alpha2,moehlenhoff-alpha2,1.4.0,"fetchFromGitHub {
    owner = ""j-a-n"";
    repo = ""python-moehlenhoff-alpha2"";
    tag = version;
    hash = ""sha256-bvT7kWFPIEQUgUxLGydd2e7SBA7vPV+YAzDqYLE7X+o="";
  }",f86999f8bfef9ff57f7f03c1c5deedc2784fc666
1cbb00d98693806dc6b46b96adfdd2a23faaaf99,st-pages,st-pages,1.0.1,"fetchFromGitHub {
    owner = ""blackary"";
    repo = ""st_pages"";
    tag = ""v${version}"";
    hash = ""sha256-sJXgpRiducJVYuyvVvTZthHnIJyIRn+f9Uw/wAMfnm0="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
c9c9027c71e02013b199fbbd63438077796a56d0,protobuf-language-server,protobuf-language-server,0.1.1,"fetchFromGitHub {
    owner = ""lasorda"";
    repo = ""protobuf-language-server"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-bDsvByXa2kH3DnvQpAq79XvwFg4gfhtOP2BpqA1LCI0="";
  }",94bcd9f5bcc94c0a1451ea873e38dddea7360bdc
ade672d6c77da9e9b2617bd25a9babd7bf74adac,dte,dte,1.11.1,"fetchFromGitLab {
    owner = ""craigbarnes"";
    repo = ""dte"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-PG9yfRzJKXVKAg8ubIvX2Rj4nLO3dki7shP+zAa7nxo="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
903ad7eeeedfd727106ce8871d9c2ebcd0af20ac,synology-srm,synology-srm,0.2.3,"fetchFromGitHub {
    owner = ""aerialls"";
    repo = ""synology-srm"";
    tag = ""v${version}"";
    hash = ""sha256-qQxctw1UUs3jYve//irBni8rNKeld5u/bVtOwD2ofEQ="";
  }",00b574b1ba8a352f0601c4dde4faff4b534ebb1e
52f6dc3efc4cbf926c58442b48bb440eaf5420da,tomlc17,tomlc17,250712,"fetchFromGitHub {
    owner = ""cktan"";
    repo = ""tomlc17"";
    tag = ""R${finalAttrs.version}"";
    hash = ""sha256-0if07Zj7Og+DBc/gxmAEHQh7QwAo8C/4S+x9IttEUjI="";
  }",e7eabdc701d7dbb810fd91a97ec358caa4c1fc50
da72675b7cef25c3aa8fcc19d5511c170029bde8,tilinggallery,tiling-gallery,0.3.0,"fetchFromGitHub {
    owner = ""roothch"";
    repo = ""TilingGallery"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-k6AHNvizXitrdY/K13B/eVBCvdmfVou7Zv3tslHA4T8="";
  }",b069b7c1e2fe1a3a24221428558bf44128d3d5c8
